position	chipx	chipy	micx	micy	micz	posref	focusimage	camRotation
1	35258.5	8312.5	61567.7	34709.8	2807.3	M1142979\pos01\posref\20210618T210116Z_60cd099c88a46443ec6f03b5.blob	M1142979\pos01\focus\20210618T210116Z_60cd099c88a46443ec6f03b6.blob	90.524
2	35258.5	8937.5	61567.0	35336.4	2807.3	M1142979\pos02\posref\20210618T210138Z_60cd09b288a46443ec6f03ee.blob	M1142979\pos02\focus\20210618T210138Z_60cd09b288a46443ec6f03ef.blob	90.524
3	35258.5	9562.5	61566.2	35962.9	2696.8	M1142979\pos03\posref\20210618T210210Z_60cd09d288a46443ec6f0435.blob	M1142979\pos03\focus\20210618T210210Z_60cd09d288a46443ec6f0436.blob	90.524
4	35258.5	10187.5	61565.5	36589.4	2687.8	M1142979\pos04\posref\20210618T210231Z_60cd09e788a46443ec6f046b.blob	M1142979\pos04\focus\20210618T210231Z_60cd09e788a46443ec6f046c.blob	90.524
5	35258.5	10812.5	61564.8	37216.0	2804.8	M1142979\pos05\posref\20210618T210302Z_60cd0a0688a46443ec6f04ad.blob	M1142979\pos05\focus\20210618T210303Z_60cd0a0788a46443ec6f04ae.blob	90.524
6	35258.5	11437.5	61564.0	37842.5	2687.8	M1142979\pos06\posref\20210618T210334Z_60cd0a2688a46443ec6f04ec.blob	M1142979\pos06\focus\20210618T210334Z_60cd0a2688a46443ec6f04ed.blob	90.524
7	35258.5	12062.5	0.0	0.0	0.0			
8	35258.5	12687.5	61562.6	39095.5	2802.8	M1142979\pos08\posref\20210618T210430Z_60cd0a5e88a46443ec6f055e.blob	M1142979\pos08\focus\20210618T210431Z_60cd0a5f88a46443ec6f055f.blob	90.524
9	35258.5	13312.5	61561.8	39722.1	2692.8	M1142979\pos09\posref\20210618T210502Z_60cd0a7f88a46443ec6f05a1.blob	M1142979\pos09\focus\20210618T210503Z_60cd0a7f88a46443ec6f05a2.blob	90.524
10	35258.5	13937.5	61561.1	40348.6	2792.3	M1142979\pos10\posref\20210618T210534Z_60cd0a9f88a46443ec6f05e0.blob	M1142979\pos10\focus\20210618T210535Z_60cd0a9f88a46443ec6f05e1.blob	90.524
11	35258.5	14562.5	61560.4	40975.1	2785.8	M1142979\pos11\posref\20210618T210557Z_60cd0ab588a46443ec6f0619.blob	M1142979\pos11\focus\20210618T210557Z_60cd0ab588a46443ec6f061a.blob	90.524
12	35258.5	15187.5	61559.6	41601.7	2788.3	M1142979\pos12\posref\20210618T210618Z_60cd0aca88a46443ec6f0650.blob	M1142979\pos12\focus\20210618T210618Z_60cd0aca88a46443ec6f0651.blob	90.524
13	35258.5	15812.5	61558.9	42228.2	2787.8	M1142979\pos13\posref\20210618T210650Z_60cd0aea88a46443ec6f0692.blob	M1142979\pos13\focus\20210618T210651Z_60cd0aeb88a46443ec6f0693.blob	90.524
14	35775.5	8312.5	62084.4	34710.5	2809.8	M1142979\pos14\posref\20210618T210712Z_60cd0b0088a46443ec6f06c9.blob	M1142979\pos14\focus\20210618T210712Z_60cd0b0088a46443ec6f06ca.blob	90.524
15	35775.5	8937.5	62083.7	35337.0	2808.8	M1142979\pos15\posref\20210618T210733Z_60cd0b1588a46443ec6f0706.blob	M1142979\pos15\focus\20210618T210733Z_60cd0b1588a46443ec6f0707.blob	90.524
16	35775.5	9562.5	62083.0	35963.6	2809.3	M1142979\pos16\posref\20210618T210756Z_60cd0b2c88a46443ec6f0741.blob	M1142979\pos16\focus\20210618T210756Z_60cd0b2d88a46443ec6f0742.blob	90.524
17	35775.5	10187.5	62082.2	36590.1	2808.8	M1142979\pos17\posref\20210618T210818Z_60cd0b4288a46443ec6f077f.blob	M1142979\pos17\focus\20210618T210819Z_60cd0b4388a46443ec6f0780.blob	90.524
18	35775.5	10812.5	62081.5	37216.7	2809.8	M1142979\pos18\posref\20210618T210840Z_60cd0b5888a46443ec6f07bb.blob	M1142979\pos18\focus\20210618T210840Z_60cd0b5888a46443ec6f07bc.blob	90.524
19	35775.5	11437.5	62080.8	37843.2	2808.8	M1142979\pos19\posref\20210618T210903Z_60cd0b6f88a46443ec6f07f9.blob	M1142979\pos19\focus\20210618T210903Z_60cd0b6f88a46443ec6f07fa.blob	90.524
20	35775.5	12062.5	62080.0	38469.7	2684.3	M1142979\pos20\posref\20210618T210924Z_60cd0b8488a46443ec6f082f.blob	M1142979\pos20\focus\20210618T210924Z_60cd0b8488a46443ec6f0830.blob	90.524
21	35775.5	12687.5	62079.3	39096.2	2694.8	M1142979\pos21\posref\20210618T210956Z_60cd0ba488a46443ec6f086e.blob	M1142979\pos21\focus\20210618T210956Z_60cd0ba488a46443ec6f086f.blob	90.524
22	35775.5	13312.5	62078.6	39722.8	2687.8	M1142979\pos22\posref\20210618T211028Z_60cd0bc488a46443ec6f08ae.blob	M1142979\pos22\focus\20210618T211028Z_60cd0bc488a46443ec6f08af.blob	90.524
23	35775.5	13937.5	62077.8	40349.3	2678.3	M1142979\pos23\posref\20210618T211100Z_60cd0be488a46443ec6f08ef.blob	M1142979\pos23\focus\20210618T211100Z_60cd0be488a46443ec6f08f0.blob	90.524
24	35775.5	14562.5	62077.1	40975.8	2791.3	M1142979\pos24\posref\20210618T211122Z_60cd0bfa88a46443ec6f0925.blob	M1142979\pos24\focus\20210618T211122Z_60cd0bfa88a46443ec6f0926.blob	90.524
25	35775.5	15187.5	62076.4	41602.4	2792.3	M1142979\pos25\posref\20210618T211154Z_60cd0c1a88a46443ec6f096a.blob	M1142979\pos25\focus\20210618T211154Z_60cd0c1a88a46443ec6f096b.blob	90.524
26	35775.5	15812.5	62075.6	42228.9	2791.3	M1142979\pos26\posref\20210618T211216Z_60cd0c3088a46443ec6f09a6.blob	M1142979\pos26\focus\20210618T211216Z_60cd0c3088a46443ec6f09a7.blob	90.524
27	36292.5	8312.5	62601.2	34711.2	2713.3	M1142979\pos27\posref\20210618T211249Z_60cd0c5188a46443ec6f09ec.blob	M1142979\pos27\focus\20210618T211249Z_60cd0c5188a46443ec6f09ed.blob	90.524
28	36292.5	8937.5	62600.4	35337.7	2692.8	M1142979\pos28\posref\20210618T211323Z_60cd0c7388a46443ec6f0a2f.blob	M1142979\pos28\focus\20210618T211323Z_60cd0c7388a46443ec6f0a30.blob	90.524
29	36292.5	9562.5	62599.7	35964.3	2809.8	M1142979\pos29\posref\20210618T211346Z_60cd0c8a88a46443ec6f0a66.blob	M1142979\pos29\focus\20210618T211346Z_60cd0c8a88a46443ec6f0a67.blob	90.524
