"","sigma","threshold","min","max"
"1",0.5,1,0.1,203.3
"2",0.9,1,0.1,200.8
"3",1.3,1,0.2,194.5
"4",1.7,1,0.2,185.1
"5",2.1,1,0.2,174.3
"6",2.5,1,0.2,162.7
"7",2.9,1,0.2,151.2
"8",0.5,1.1,0.1,203.3
"9",0.9,1.1,0.1,200.8
"10",1.3,1.1,0.2,194.5
"11",1.7,1.1,0.2,185.1
"12",2.1,1.1,0.2,174.3
"13",2.5,1.1,0.2,162.7
"14",2.9,1.1,0.2,151.2
"15",0.5,1.2,0.1,203.3
"16",0.9,1.2,0.1,200.8
"17",1.3,1.2,0.2,194.5
"18",1.7,1.2,0.2,185.1
"19",2.1,1.2,0.2,174.3
"20",2.5,1.2,0.2,162.7
"21",2.9,1.2,0.2,151.2
"22",0.5,1.3,0.1,203.3
"23",0.9,1.3,0.1,200.8
"24",1.3,1.3,0.2,194.5
"25",1.7,1.3,0.2,185.1
"26",2.1,1.3,0.2,174.3
"27",2.5,1.3,0.2,162.7
"28",2.9,1.3,0.2,151.2
"29",0.5,1.4,0.1,203.3
"30",0.9,1.4,0.1,200.8
"31",1.3,1.4,0.2,194.5
"32",1.7,1.4,0.2,185.1
"33",2.1,1.4,0.2,174.3
"34",2.5,1.4,0.2,162.7
"35",2.9,1.4,0.2,151.2
"36",0.5,1.5,0.1,203.3
"37",0.9,1.5,0.1,200.8
"38",1.3,1.5,0.2,194.5
"39",1.7,1.5,0.2,185.1
"40",2.1,1.5,0.2,174.3
"41",2.5,1.5,0.2,162.7
"42",2.9,1.5,0.2,151.2
"43",0.5,1.6,0.1,203.3
"44",0.9,1.6,0.1,200.8
"45",1.3,1.6,0.2,194.5
"46",1.7,1.6,0.2,185.1
"47",2.1,1.6,0.2,174.3
"48",2.5,1.6,0.2,162.7
"49",2.9,1.6,0.2,151.2
"50",0.5,1.7,0.1,203.3
"51",0.9,1.7,0.1,200.8
"52",1.3,1.7,0.2,194.5
"53",1.7,1.7,0.2,185.1
"54",2.1,1.7,0.2,174.3
"55",2.5,1.7,0.2,162.7
"56",2.9,1.7,0.2,151.2
"57",0.5,1.8,0.1,203.3
"58",0.9,1.8,0.1,200.8
"59",1.3,1.8,0.2,194.5
"60",1.7,1.8,0.2,185.1
"61",2.1,1.8,0.2,174.3
"62",2.5,1.8,0.2,162.7
"63",2.9,1.8,0.2,151.2
"64",0.5,1.9,0.1,203.3
"65",0.9,1.9,0.1,200.8
"66",1.3,1.9,0.2,194.5
"67",1.7,1.9,0.2,185.1
"68",2.1,1.9,0.2,174.3
"69",2.5,1.9,0.2,162.7
"70",2.9,1.9,0.2,151.2
"71",0.5,2,0.1,203.3
"72",0.9,2,0.1,200.8
"73",1.3,2,0.2,194.5
"74",1.7,2,0.2,185.1
"75",2.1,2,0.2,174.3
"76",2.5,2,0.2,162.7
"77",2.9,2,0.2,151.2
"78",0.5,2.1,0.1,203.3
"79",0.9,2.1,0.1,200.8
"80",1.3,2.1,0.2,194.5
"81",1.7,2.1,0.2,185.1
"82",2.1,2.1,0.2,174.3
"83",2.5,2.1,0.2,162.7
"84",2.9,2.1,0.2,151.2
"85",0.5,2.2,0.1,203.3
"86",0.9,2.2,0.1,200.8
"87",1.3,2.2,0.2,194.5
"88",1.7,2.2,0.2,185.1
"89",2.1,2.2,0.2,174.3
"90",2.5,2.2,0.2,162.7
"91",2.9,2.2,0.2,151.2
"92",0.5,2.3,0.1,203.3
"93",0.9,2.3,0.1,200.8
"94",1.3,2.3,0.2,194.5
"95",1.7,2.3,0.2,185.1
"96",2.1,2.3,0.2,174.3
"97",2.5,2.3,0.2,162.7
"98",2.9,2.3,0.2,151.2
"99",0.5,2.4,0.1,203.3
"100",0.9,2.4,0.1,200.8
"101",1.3,2.4,0.2,194.5
"102",1.7,2.4,0.2,185.1
"103",2.1,2.4,0.2,174.3
"104",2.5,2.4,0.2,162.7
"105",2.9,2.4,0.2,151.2
"106",0.5,2.5,0.1,203.3
"107",0.9,2.5,0.1,200.8
"108",1.3,2.5,0.2,194.5
"109",1.7,2.5,0.2,185.1
"110",2.1,2.5,0.2,174.3
"111",2.5,2.5,0.2,162.7
"112",2.9,2.5,0.2,151.2
"113",0.5,2.6,0.1,203.3
"114",0.9,2.6,0.1,200.8
"115",1.3,2.6,0.2,194.5
"116",1.7,2.6,0.2,185.1
"117",2.1,2.6,0.2,174.3
"118",2.5,2.6,0.2,162.7
"119",2.9,2.6,0.2,151.2
"120",0.5,2.7,0.1,203.3
"121",0.9,2.7,0.1,200.8
"122",1.3,2.7,0.2,194.5
"123",1.7,2.7,0.2,185.1
"124",2.1,2.7,0.2,174.3
"125",2.5,2.7,0.2,162.7
"126",2.9,2.7,0.2,151.2
"127",0.5,2.8,0.1,203.3
"128",0.9,2.8,0.1,200.8
"129",1.3,2.8,0.2,194.5
"130",1.7,2.8,0.2,185.1
"131",2.1,2.8,0.2,174.3
"132",2.5,2.8,0.2,162.7
"133",2.9,2.8,0.2,151.2
"134",0.5,2.9,0.1,203.3
"135",0.9,2.9,0.1,200.8
"136",1.3,2.9,0.2,194.5
"137",1.7,2.9,0.2,185.1
"138",2.1,2.9,0.2,174.3
"139",2.5,2.9,0.2,162.7
"140",2.9,2.9,0.2,151.2
"141",0.5,3,0.1,203.3
"142",0.9,3,0.1,200.8
"143",1.3,3,0.2,194.5
"144",1.7,3,0.2,185.1
"145",2.1,3,0.2,174.3
"146",2.5,3,0.2,162.7
"147",2.9,3,0.2,151.2
